model_name,mae,rmse,r2_score,training_time_seconds
Random Forest,10.948781196995396,16.151487422698644,0.8462334634407301,2.6633245944976807
Gradient Boosting,11.141316445249865,16.18762343815137,0.8455446444315801,4.345423936843872
Decision Tree,12.057368907388552,18.25813032359651,0.8035059560886458,0.1637096405029297
Linear Regression,16.10746862326877,19.939592989955788,0.7656476225637885,0.039578914642333984
Ridge Regression,16.137631599853833,19.962342240077565,0.765112568298686,0.008935928344726562
